Symbol,Day,Open,CloseDiff,SpreadOverLow,Volume,NextLow,TwoDayHigh,ThreeDayOpen
AZZ,20171003,47.3,0.01585624,6.243062,357700,47.5,48.05,45.85
BAC-W,20090219,9.01,-0.07880133,5.919625,224000,5.9,10.22,8.9
BAC-Y,20070821,22.22,0.005850633,6.293325,30600,21.9,22.6,22.6
BAM,20081006,16.0333,-0.03492733,9.330137,3932400,13.9667,14.42,13.86
BAS,20060811,28.75,-0.07130432,5.596933,460700,26.97,27.49,27.1
BAS,20120120,17.58,-0.02559731,5.03588,2216300,16.04,17.29,17.12
BAS,20140725,26.5,-0.04490568,8.92637,3653900,25.19,26.68,26.53
BAS,20141205,6.69,-0.08819135,6.726507,5578300,5.53,6.16,5.76
BAS,20141218,6.78,-0.06194691,8.174182,7600400,6.48,7.67,7.39
BAS,20150708,6.57,-0.06697109,5.834701,2634100,6.21,6.72,6.27
BAS,20150911,4.49,-0.08463244,6.508511,5998900,3.82,4.18,4.25
BAS,20150917,4.45,0.05617978,7.482832,3912700,4.39,4.84,4.47
BAS,20150925,4.33,-0.069284,5.655924,3000100,3.6,3.75,3.5
BAS,20160825,0.53,-0.05660372,14.5192,4925700,0.45,0.48,0.47
BAS,20160830,0.47,-0.08510637,10.18503,2441500,0.37,0.45,0.46
BAS,20161104,0.42,0.04761907,15.412,2656800,0.4,0.46,0.4
BBG,20120509,22.33,0.08553515,5.44355,2739900,23.81,24.56,23.77
BBG,20150225,10.59,0.01605289,8.074571,6128100,10.07,10.27,9.99
BBG,20150323,8.81,-0.06696936,6.195452,2441400,7.9,8.52,8.46
BBG,20150813,5.11,-0.06066535,6.158851,2421700,4.73,4.8,4.75
BBG,20170525,3.93,-0.0610687,5.604521,2381900,3.65,3.73,3.54
BBW,20090204,4.73,-0.08668073,5.572238,114000,4.24,4.85,4.66
BBW,20121031,3.35,0.0716418,6.606865,161200,3.42,3.67,3.56
BBW,20130214,5.11,-0.039139,5.239536,106100,4.88,5.05,4.87
BBW,20150219,22.06,-0.07252949,10.87868,914300,19.26,20.79,20.36
BBW,20170727,10.7,-0.09813086,7.53686,277600,9.6,9.75,9.65
BBX,20070402,54.6,-0.06776551,9.241687,1108800,51.2,53.75,53.15
BBX,20080715,5.25,-0.0952381,6.438367,1374700,4.85,7.5,10
BBX,20091102,7.9,-0.04430379,6.480118,310100,7.05,8.7,8.4
BBX,20100416,11.45,-0.06550218,7.162135,2068900,10.55,11.3,11.75
BBX,20100421,11.75,0.05531912,9.447613,4578300,11.4,14.9,16.4
BBX,20101215,4.85,-0.01030922,12.4764,3895200,5.1,7.9,7.8
BBX,20101230,6.05,-0.04958681,6.155228,928000,5.6,6.15,6
BBX,20120316,3.55,0.02535216,6.263039,259700,3.66,3.99,3.98
BBX,20120416,5.44,0.09191176,5.684962,185900,5.99,6.49,6.42
BBY,20120710,21.28,-0.006579008,4.345196,7373400,19.31,19.52,18.87
BC,20090130,2.99,-0.07023413,5.550225,1993200,2.61,3.09,3.09
BC,20090707,3.83,0.002610964,5.112797,1623000,3.52,3.71,3.49
BC,20120126,22.4,-0.06607141,5.337254,3418800,20.78,21.03,21.36
BDN,20090306,3.85,-0.08311687,9.043089,3657700,3.3,3.83,3.78
BFR,20070207,12.69,-0.04570527,5.18236,162900,11.5,12.25,12.01
BG,20081009,43.75,-0.02011431,5.532305,2680900,35.01,47.4,48.01
BGC,20170209,16.9,0.04733735,5.249051,945500,16.7,17.35,16.5
